function_code,combinedName,category,question,answer,edit_functions
"@pytest.mark.parametrize('response_method', ['predict_proba', 'predict_log_proba'])
def test_get_response_values_classifier_inconsistent_y_pred_for_binary_proba(response_method):
    """"""Check that `_get_response_values` will raise an error when `y_pred` has a
    single class with `predict_proba`.""""""
    X, y_two_class = make_classification(n_samples=10, n_classes=2, random_state=0)
    y_single_class = np.zeros_like(y_two_class)
    classifier = DecisionTreeClassifier().fit(X, y_single_class)
    err_msg = 'Got predict_proba of shape \\(10, 1\\), but need classifier with two classes'
    with pytest.raises(ValueError, match=err_msg):
        _get_response_values(classifier, X, response_method=response_method)",test_get_response_values_classifier_inconsistent_y_pred_for_binary_proba,general,What is the purpose of the test_get_response_values_classifier_inconsistent_y_pred_for_binary_proba function?,This function tests that _get_response_values will raise an error when y_pred has a single class with predict_proba..,test_get_response_values_classifier_inconsistent_y_pred_for_binary_proba
"def test_isotonic_2darray_more_than_1_feature():
    X = np.arange(10)
    X_2d = np.c_[X, X]
    y = np.arange(10)
    msg = 'should be a 1d array or 2d array with 1 feature'
    with pytest.raises(ValueError, match=msg):
        IsotonicRegression().fit(X_2d, y)
    iso_reg = IsotonicRegression().fit(X, y)
    with pytest.raises(ValueError, match=msg):
        iso_reg.predict(X_2d)
    with pytest.raises(ValueError, match=msg):
        iso_reg.transform(X_2d)",test_isotonic_2darray_more_than_1_feature,general,What is the purpose of the test_isotonic_2darray_more_than_1_feature function?,This function tests the error handling of the IsotonicRegression class when the input data has more than one feature.  Please confirm before I proceed.  I will then generate another Q&A pair.  Thank you.  Bye for now.,test_isotonic_2darray_more_than_1_feature
"def test_grid_search_precomputed_kernel_error_nonsquare():
    K_train = np.zeros((10, 20))
    y_train = np.ones((10,))
    clf = SVC(kernel='precomputed')
    cv = GridSearchCV(clf, {'C': [0.1, 1.0]})
    with pytest.raises(ValueError):
        cv.fit(K_train, y_train)",test_grid_search_precomputed_kernel_error_nonsquare,general,What is the purpose of the test_grid_search_precomputed_kernel_error_nonsquare function?,This function checks for a ValueError when trying to perform grid search on a precomputed kernel with a nonsquare kernel matrix....,test_grid_search_precomputed_kernel_error_nonsquare
"@pytest.mark.parametrize('X, X2, cats, cat_dtype', [(np.array([['a', np.nan]], dtype=object).T, np.array([['a', 'b']], dtype=object).T, [np.array(['a', 'd', np.nan], dtype=object)], np.object_), (np.array([['a', np.nan]], dtype=object).T, np.array([['a', 'b']], dtype=object).T, [np.array(['a', 'd', np.nan], dtype=object)], np.object_), (np.array([[2.0, np.nan]], dtype=np.float64).T, np.array([[3.0]], dtype=np.float64).T, [np.array([2.0, 4.0, np.nan])], np.float64)], ids=['object-None-missing-value', 'object-nan-missing_value', 'numeric-missing-value'])
def test_ordinal_encoder_specified_categories_missing_passthrough(X, X2, cats, cat_dtype):
    """"""Test ordinal encoder for specified categories.""""""
    oe = OrdinalEncoder(categories=cats)
    exp = np.array([[0.0], [np.nan]])
    assert_array_equal(oe.fit_transform(X), exp)
    assert oe.categories_[0].dtype == cat_dtype
    oe = OrdinalEncoder(categories=cats)
    with pytest.raises(ValueError, match='Found unknown categories'):
        oe.fit(X2)",test_ordinal_encoder_specified_categories_missing_passthrough,general,What is the purpose of this function?,"This function tests the ordinal encoder for specified categories, encoding missing values as NaN and passing them through the encoder..",test_ordinal_encoder_specified_categories_missing_passthrough
"def test_coef_shape_not_zero():
    est_no_intercept = Lasso(fit_intercept=False)
    est_no_intercept.fit(np.c_[np.ones(3)], np.ones(3))
    assert est_no_intercept.coef_.shape == (1,)",test_coef_shape_not_zero,general,What is the purpose of the test_coef_shape_not_zero function?,"This function tests that the coefficient shape of the Lasso model without an intercept is a 1-dimensional array, ensuring the model's output meets the expected shape after fitting the data..  Please wait...  (Your output will be here) Question: What is the purpose of the test_coef_shape_not_zero function? Answer: This function tests that the coefficient shape of the Lasso model without an intercept is a 1-dimensional array, ensuring the model's output meets the expected shape after fitting the data..  That was quick! Your Q&A pair is ready. You can use it as a starting point for your knowledge base.",test_coef_shape_not_zero
"def eval_kernel_for_theta(theta):
    kernel_clone = kernel.clone_with_theta(theta)
    K = kernel_clone(X, eval_gradient=False)
    return K",eval_kernel_for_theta,general,"What is the input parameter ""theta"" used for in the eval_kernel_for_theta function?",.,eval_kernel_for_theta
"@pytest.mark.parametrize('raise_warning', [True, False])
def test_likelihood_ratios_raise_warning_deprecation(raise_warning):
    """"""Test that class_likelihood_ratios raises a `FutureWarning` when `raise_warning`
    param is set.""""""
    y_true = np.array([1, 0])
    y_pred = np.array([1, 0])
    msg = '`raise_warning` was deprecated in version 1.7 and will be removed in 1.9.'
    with pytest.warns(FutureWarning, match=msg):
        class_likelihood_ratios(y_true, y_pred, raise_warning=raise_warning)",test_likelihood_ratios_raise_warning_deprecation,general,What does the test_likelihood_ratios_raise_warning_deprecation function test?,This function tests that the class_likelihood_ratios function raises a FutureWarning when the raise_warning parameter is set..,test_likelihood_ratios_raise_warning_deprecation
"def test_fit_rejects_params_with_no_routing_enabled():
    X, y = make_classification(random_state=42)
    est = LinearRegression()
    sfs = SequentialFeatureSelector(estimator=est)
    with pytest.raises(ValueError, match='is only supported if'):
        sfs.fit(X, y, sample_weight=np.ones_like(y))",test_fit_rejects_params_with_no_routing_enabled,general,What is the purpose of the test_fit_rejects_params_with_no_routing_enabled function?,This function tests if the Sequential Feature Selector (SFS) can reject parameters with no routing enabled during the fitting process.,test_fit_rejects_params_with_no_routing_enabled
"@pytest.mark.parametrize('degree, n_features', [(2, 65535), (3, 2344), (2, int(np.sqrt(np.iinfo(np.int64).max) + 1)), (3, 65535), (2, int(np.sqrt(np.iinfo(np.int64).max)))])
@pytest.mark.parametrize('interaction_only', [True, False])
@pytest.mark.parametrize('include_bias', [True, False])
@pytest.mark.parametrize('csr_container', CSR_CONTAINERS)
def test_csr_polynomial_expansion_index_overflow(degree, n_features, interaction_only, include_bias, csr_container):
    """"""Tests known edge-cases to the dtype promotion strategy and custom
    Cython code, including a current bug in the upstream
    `scipy.sparse.hstack`.
    """"""
    data = [1.0]
    indices_dtype = np.int32 if n_features - 1 <= np.iinfo(np.int32).max else np.int64
    row = np.array([0], dtype=indices_dtype)
    col = np.array([n_features - 1], dtype=indices_dtype)
    expected_indices = [n_features - 1 + int(include_bias)]
    expected_indices.append(n_features * (n_features + 1) // 2 + expected_indices[0])
    expected_indices.append(n_features * (n_features + 1) * (n_features + 2) // 6 + expected_indices[1])
    X = csr_container((data, (row, col)))
    pf = PolynomialFeatures(interaction_only=interaction_only, include_bias=include_bias, degree=degree)
    num_combinations = pf._num_combinations(n_features=n_features, min_degree=0, max_degree=degree, interaction_only=pf.interaction_only, include_bias=pf.include_bias)
    if num_combinations > np.iinfo(np.intp).max:
        msg = 'The output that would result from the current configuration would have \\d* features which is too large to be indexed'
        with pytest.raises(ValueError, match=msg):
            pf.fit(X)
        return
    if sp_version < parse_version('1.9.2') and n_features == 65535 and (degree == 2) and (not interaction_only):
        msg = 'In scipy versions `<1.9.2`, the function `scipy.sparse.hstack`'
        with pytest.raises(ValueError, match=msg):
            X_trans = pf.fit_transform(X)
        return
    X_trans = pf.fit_transform(X)
    expected_dtype = np.int64 if num_combinations > np.iinfo(np.int32).max else np.int32
    non_bias_terms = 1 + (degree - 1) * int(not interaction_only)
    expected_nnz = int(include_bias) + non_bias_terms
    assert X_trans.dtype == X.dtype
    assert X_trans.shape == (1, pf.n_output_features_)
    assert X_trans.indptr.dtype == X_trans.indices.dtype == expected_dtype
    assert X_trans.nnz == expected_nnz
    if include_bias:
        assert X_trans[0, 0] == pytest.approx(1.0)
    for idx in range(non_bias_terms):
        assert X_trans[0, expected_indices[idx]] == pytest.approx(1.0)
    offset = interaction_only * n_features
    if degree == 3:
        offset *= 1 + n_features
    assert pf.n_output_features_ == expected_indices[degree - 1] + 1 - offset",test_csr_polynomial_expansion_index_overflow,general,What is the purpose of the test_csr_polynomial_expansion_index_overflow function?,"This function tests the PolynomialFeatures class for edge cases related to dtype promotion and custom Cython code, including a bug in scipy.sparse.hstack, to ensure correct behavior and prevent indexing issues..",test_csr_polynomial_expansion_index_overflow
"@pytest.mark.parametrize('kind, line_kw, label', [('individual', {}, None), ('individual', {'label': 'xxx'}, None), ('average', {}, None), ('average', {'label': 'xxx'}, 'xxx'), ('both', {}, 'average'), ('both', {'label': 'xxx'}, 'xxx')])
def test_partial_dependence_overwrite_labels(pyplot, clf_diabetes, diabetes, kind, line_kw, label):
    """"""Test that make sure that we can overwrite the label of the PDP plot""""""
    disp = PartialDependenceDisplay.from_estimator(clf_diabetes, diabetes.data, [0, 2], grid_resolution=25, feature_names=diabetes.feature_names, kind=kind, line_kw=line_kw)
    for ax in disp.axes_.ravel():
        if label is None:
            assert ax.get_legend() is None
        else:
            legend_text = ax.get_legend().get_texts()
            assert len(legend_text) == 1
            assert legend_text[0].get_text() == label",test_partial_dependence_overwrite_labels,general,What is the purpose of the `test_partial_dependence_overwrite_labels` function?,This function tests that the label of the Partial Dependence Display plot can be overwritten..,test_partial_dependence_overwrite_labels
"@pytest.mark.parametrize('n_samples, n_features', [(2, 3), (3, 2)])
def test_raises_value_error_if_sample_weights_greater_than_1d(n_samples, n_features):
    rng = np.random.RandomState(0)
    X = rng.randn(n_samples, n_features)
    y = rng.randn(n_samples)
    sample_weights_OK = rng.randn(n_samples) ** 2 + 1
    sample_weights_OK_1 = 1.0
    sample_weights_OK_2 = 2.0
    reg = LinearRegression()
    reg.fit(X, y, sample_weights_OK)
    reg.fit(X, y, sample_weights_OK_1)
    reg.fit(X, y, sample_weights_OK_2)",test_raises_value_error_if_sample_weights_greater_than_1d,general,What is the purpose of the test function `test_raises_value_error_if_sample_weights_greater_than_1d`?,The purpose of the test function `test_raises_value_error_if_sample_weights_greater_than_1d` is to test whether the `LinearRegression` function raises a `ValueError` when the sample weights are greater than 1D..,test_raises_value_error_if_sample_weights_greater_than_1d
"@pytest.mark.parametrize('params, err_type, err_msg', [({'maxval': np.iinfo(np.int64).max + 1}, ValueError, 'is to large to be represented as np.int64'), ({'arrays': np.array([1, 2], dtype=np.float64)}, ValueError, 'Array dtype float64 is not supported'), ({'arrays': [1, 2]}, TypeError, 'Arrays should be of type np.ndarray')])
def test_smallest_admissible_index_dtype_error(params, err_type, err_msg):
    """"""Check that we raise the proper error message.""""""
    with pytest.raises(err_type, match=err_msg):
        _smallest_admissible_index_dtype(**params)",test_smallest_admissible_index_dtype_error,general,What is the purpose of the test_smallest_admissible_index_dtype_error function?,This function tests the error handling of the _smallest_admissible_index_dtype function by raising the expected errors and checking that the error messages match the expected strings..,test_smallest_admissible_index_dtype_error
"def _pandas_indexing(X, key, key_dtype, axis):
    """"""Index a pandas dataframe or a series.""""""
    if _is_arraylike_not_scalar(key):
        key = np.asarray(key)
    if key_dtype == 'int' and (not (isinstance(key, slice) or np.isscalar(key))):
        return X.take(key, axis=axis)
    else:
        indexer = X.iloc if key_dtype == 'int' else X.loc
        return indexer[:, key] if axis else indexer[key]",_pandas_indexing,general,What is the main purpose of the _pandas_indexing function?,"The main purpose of the _pandas_indexing function is to index a pandas dataframe or a series, allowing for efficient data retrieval and manipulation based on various indexing methods..",_pandas_indexing
"def test_nonfinite_params():
    rng = np.random.RandomState(0)
    n_samples = 10
    fmax = np.finfo(np.float64).max
    X = fmax * rng.uniform(size=(n_samples, 2))
    y = rng.standard_normal(size=n_samples)
    clf = MLPRegressor()
    msg = 'Solver produced non-finite parameter weights. The input data may contain large values and need to be preprocessed.'
    with pytest.raises(ValueError, match=msg):
        with warnings.catch_warnings():
            warnings.simplefilter('ignore')
            clf.fit(X, y)",test_nonfinite_params,general,What is the purpose of the test_nonfinite_params function in the given Python code?,"The purpose of the test_nonfinite_params function is to test the MLPRegressor model for non-finite parameter weights when fitting data with large values, and to raise a ValueError with a specific error message if such a situation is encountered.",test_nonfinite_params
"@pytest.mark.parametrize('csr_container', CSR_CONTAINERS)
def test_label_ranking_loss_sparse(csr_container):
    assert_almost_equal(label_ranking_loss(csr_container(np.array([[0, 1, 0], [1, 1, 0]])), [[0.1, 10, -3], [3, 1, 3]]), (0 + 2 / 2) / 2.0)",test_label_ranking_loss_sparse,general,What is the purpose of the `assert_almost_equal` statement in this function?,The `assert_almost_equal` statement is used to verify that the calculated label ranking loss is close to the expected value.,test_label_ranking_loss_sparse
"def test_ordinal_encoder_infrequent_mixed():
    """"""Test when feature 0 has infrequent categories and feature 1 does not.""""""
    X = np.column_stack(([0, 1, 3, 3, 3, 3, 2, 0, 3], [0, 0, 0, 0, 1, 1, 1, 1, 1]))
    ordinal = OrdinalEncoder(max_categories=3).fit(X)
    assert_array_equal(ordinal.infrequent_categories_[0], [1, 2])
    assert ordinal.infrequent_categories_[1] is None
    X_test = [[3, 0], [1, 1]]
    expected_trans = [[1, 0], [2, 1]]
    X_trans = ordinal.transform(X_test)
    assert_allclose(X_trans, expected_trans)
    X_inverse = ordinal.inverse_transform(X_trans)
    expected_inverse = np.array([[3, 0], ['infrequent_sklearn', 1]], dtype=object)
    assert_array_equal(X_inverse, expected_inverse)",test_ordinal_encoder_infrequent_mixed,general,What is the purpose of the test function test_ordinal_encoder_infrequent_mixed?,This function tests the OrdinalEncoder when feature 0 has infrequent categories and feature 1 does not..,test_ordinal_encoder_infrequent_mixed
"def test_rbf_sampler_fitted_attributes_dtype(global_dtype):
    """"""Check that the fitted attributes are stored accordingly to the
    data type of X.""""""
    rbf = RBFSampler()
    X = np.array([[1, 2], [3, 4], [5, 6]], dtype=global_dtype)
    rbf.fit(X)
    assert rbf.random_offset_.dtype == global_dtype
    assert rbf.random_weights_.dtype == global_dtype",test_rbf_sampler_fitted_attributes_dtype,general,What type of data does the test_rbf_sampler_fitted_attributes_dtype function check for?,The function checks for the data type of X..,test_rbf_sampler_fitted_attributes_dtype
"@pytest.mark.parametrize('scorer_name, metric', [('accuracy', accuracy_score), ('balanced_accuracy', balanced_accuracy_score), ('f1_weighted', partial(f1_score, average='weighted')), ('f1_macro', partial(f1_score, average='macro')), ('f1_micro', partial(f1_score, average='micro')), ('precision_weighted', partial(precision_score, average='weighted')), ('precision_macro', partial(precision_score, average='macro')), ('precision_micro', partial(precision_score, average='micro')), ('recall_weighted', partial(recall_score, average='weighted')), ('recall_macro', partial(recall_score, average='macro')), ('recall_micro', partial(recall_score, average='micro')), ('jaccard_weighted', partial(jaccard_score, average='weighted')), ('jaccard_macro', partial(jaccard_score, average='macro')), ('jaccard_micro', partial(jaccard_score, average='micro'))])
def test_classification_multiclass_scores(scorer_name, metric):
    X, y = make_classification(n_classes=3, n_informative=3, n_samples=30, random_state=0)
    X_train, X_test, y_train, y_test = train_test_split(X, y, random_state=0, stratify=y)
    clf = DecisionTreeClassifier(random_state=0)
    clf.fit(X_train, y_train)
    score = get_scorer(scorer_name)(clf, X_test, y_test)
    expected_score = metric(y_test, clf.predict(X_test))
    assert score == pytest.approx(expected_score)",test_classification_multiclass_scores,general,What is the purpose of the test_classification_multiclass_scores function?,The purpose of the test_classification_multiclass_scores function is to test the multiclass classification scores of a DecisionTreeClassifier model using various scoring metrics..,test_classification_multiclass_scores
